Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
NESTLEIND.NS,Nestlé India Limited,2419889446450,0.042,79.86,2509.85,2028038,0.3844,3
IDFCFIRSTB.NS,IDFC First Bank Limited,546719880000,0.903,18.37,77.25,97310059,0.3722,1
KARURVYSYA.NS,The Karur Vysya Bank Limited,155266778900,0.859,9.92,194.05,3173706,0.8161,1
IBREALEST.NS,Indiabulls Real Estate Limited,79886813692,1.165,-6.92,126.8,13184531,1.3957,1
GMRP&UI.NS,GMR Power And Urban Infra Limited,38780913472,0.571,-9.62,64.25,6149127,1.6288,0
KERNEX.NS,Kernex Microsystems (India) Limited,6015786630,0.057,-30.59,358.95,55514,1.3729,0
BASML.NS,Bannari Amman Spinning Mills Ltd,2912139288,0.844,-24.97,42.2,115422,0.0559,1
SMLT.NS,Sarthak Metals Limited,2742751430,0.519,20.81,200.35,31304,0.3543,0
SBILIFE.NS,SBI Life Insurance Company Limited,1392212952000,0.594,75.48,1390.1,1238106,0.3661,0
RVNL.NS,Rail Vikas Nigam Limited,736637566000,1.319,50.6,353.3,59032955,2.756,1
HBLPOWER.NS,HBL Power Systems Limited,127371102500,0.702,47.62,459.5,1688338,3.7812,1
THANGAMAYL.NS,Thangamayil Jewellery Limited,34898546520,1.057,29.36,1271.85,32961,1.5899,1
PARAS.NS,Paras Defence and Space Technologies Limited,32364199791,0.244,111.58,829.85,1329170,0.3446,0
PSPPROJECT.NS,PSP Projects Limited,27079232265,0.433,18.88,622.1,98233,0.0304,0
BAJAJHCARE.NS,Bajaj HealthCare Limited,7908321520,0.589,-56.37,286.55,28280,0.0102,1
LGBFORGE.NS,LGB Forge Limited,2155728100,1.297,-39.79,9.05,385475,0.0788,1
MADHAV.NS,Madhav Marbles and Granites Limited,382484250,0.85,-25.93,42.75,6720,0.0013,1
ZOMATO.NS,Zomato Limited,1622400762000,0.221,462.88,183.8,57186414,2.5532,4
ISEC.NS,ICICI Securities Limited,229490413950,0.797,13.65,709.05,531335,0.7985,1
PNCINFRA.NS,PNC Infratech Limited,120675945600,0.777,14.34,470.4,2748906,0.5012,1
BLKASHYAP.NS,B.L. Kashyap and Sons Limited,16209136000,0.582,32.88,71.9,2722143,1.2867,0
AXITA.NS,Axita Cotton Limited,5217560000,0.016,25.51,20.0,1547433,-0.5102,0
NAGREEKEXP.NS,Nagreeka Exports Limited,912478141,0.909,8.84,28.05,50205,0.066,1
FLFL.NS,Future Lifestyle Fashions Limited,403550000,1.073,-0.02,2.0,125644,-0.5684,1
